a bit	một chút, một tí
generation (n) /ˌdʒɛnəˈreɪʃən/	sự sinh ra, sự phát sinh ra; thế hệ, đời
generous (adj) /´dʒenərəs/	rộng lượng, khoan hồng, hào phóng
generously (adv) /'dʒenərəsli/	rộng lượng, hào phóng
gentle (adj) /dʒentl/	hiền lành, dịu dàng, nhẹ nhàng
gentleman (n) /ˈdʒɛntlmən/	người quý phái, người thượng lưu
gently (adv) /'dʤentli/	nhẹ nhàng, êm ái, dịu dàng
genuine (adj) /´dʒenjuin/	thành thật, chân thật; xác thực
genuinely (adv) /´dʒenjuinli/	thành thật, chân thật
geography (n) /dʒi´ɔgrəfi/	địa lý, khoa địa lý
get (v) /get/	được, có được
get off	ra khỏi, thoát khỏi
get on	leo, trèo lên
giant (n) (adj) /ˈdʒaiənt/	người khổng lồ, người phi thường; khổng lồ, phi thường
gift (n) /gift/	quà tặng
girl (n) /g3:l/	con gái
girlfriend (n) /'gз:lfrend/	bạn gái, người yêu
give (v) /giv/	cho, biếu, tặng
give (sth) up	bỏ, từ bỏ
give birth (to)	sinh ra
give sth away	cho, phát
give sth out	chia, phân phối
glad (adj) /glæd/	vui lòng, sung sướng
glass (n) /glɑ:s/	kính, thủy tinh, cái cốc, ly
glasses (n)	kính đeo mắt
global (adj) v /´gloubl/	toàn cầu, toàn thể, toàn bộ
glove (n) /glʌv/	bao tay, găng tay
glue (n) (v) /glu:/	keo, hồ; gắn lại, dán bằng keo, hồ
go (v) /gou/	đi
go bad/	bẩn thỉu, thối, hỏng
go down	đi xuống
go up	đi lên
go wrong	mắc lỗi, sai lầm
goal (n) /goƱl/	mục tiêu
god (n) /gɒd/	thần, Chúa
gold (n) (adj) /goʊld/	vàng; bằng vàng
good (adj) (n) /gud/	tốt, hay, tuyệt; điều tốt, điều thiện
good at	tiến bộ ở
good for	có lợi cho
good, well /gud/	/wel/; tốt, khỏe
goodbye exclamation, (n) /¸gud´bai/	tạm biệt; lời chào tạm biệt
goods (n) /gudz/	của cải, tài sản, hàng hóa
govern (v) /´gʌvən/	cai trị, thống trị, cầm quyền
government (n) /ˈgʌvərnmənt , ˈgʌvərmənt/	chính phủ, nội các; sự cai trị
governor (n) /´gʌvənə/	thủ lĩnh, chủ; kẻ thống trị
grab (v) /græb/	túm lấy, vồ, chộp lấy
grade (n) (v) /greɪd/	điểm, điểm số; phân loại, xếp loại
gradual (adj) /´grædjuəl/	dần dần, từng bước một
gradually (adv) /'grædzuәli/	dần dần, từ từ
grain (n) /grein/	thóc lúa, hạt, hột; tính chất, bản chất
gram (BrE also gramme) (n) (abbr. g, gm) /'græm/	ngữ pháp
gram (n) /'græm/	đậu xanh
grammar (n) /ˈgræmər/	văn phạm
grand (adj) /grænd/	rộng lớn, vĩ đại
grandchild (n) /´græn¸tʃaild/	cháu (của ông bà)
granddaughter (n) /'græn,do:tз/	cháu gái
grandfather (n) /´græn¸fa:ðə/	ông
grandmother (n) /'græn,mʌðə/	bà
grandparent (n) /´græn¸pɛərənts/	ông bà
grandson (n) /´grænsʌn/	cháu trai
grant (v) (n) /grα:nt/	cho, ban, cấp; sự cho, sự ban, sự cấp
grass (n) /grɑ:s/	cỏ; bãi cỏ, đồng cỏ
grateful (adj) /´greitful/	biết ơn, dễ chịu, khoan khoái
grave (n) (adj) /greiv/	mộ, dấu huyền; trang nghiêm, nghiêm trọng
gray(NAmE) /grei/	xám, hoa râm (tóc)
great (adj) /greɪt/	to, lớn, vĩ đại
greatly (adv) /´greitli/	rất, lắm; cao thượng, cao cả
green (adj) (n) /grin/	xanh lá cây
grey /grei/	xám, hoa râm (tóc)
grey (BrE) (NAmE usually gray) (adj) (n)	màu xám
groceries (n) /ˈgroʊsəri, ˈgroʊsri/	hàng tạp hóa
grocery (NAmE usually grocery store) (n) /´grousəri/	cửa hàng tạp phẩm
ground (n) /graund/	mặt đất, đất, bãi đất
group (n) /gru:p/	nhóm
grow (v) /grou/	mọc, mọc lên
grow up	lớn lên, trưởng thành
growth (n) /grouθ/	sự lớn lên, sự phát triển
guarantee (n) (v) /ˌgærənˈti/	sự bảo hành, bảo lãnh, người bảo lãnh; cam
guard (n) (v) /ga:d/	cái chắn, người bảo vệ; bảo vệ, gác, canh giữ
guess (v) (n) /ges/	đoán, phỏng đoán; sự đoán, sự ước chừng
guest (n) /gest/	khách, khách mời
guide (n) (v) /gaɪd/	điều chỉ dẫn, người hướng dẫn; dẫn đường, chỉ đường
guilty (adj) /ˈgɪlti/	có tội, phạm tội, tội lỗi
gun (n) /gʌn/	súng
guy (n) /gai/	anh chàng, gã
habit (n) /´hæbit/	thói quen, tập quán
hair (n) /heə/	tóc
hairdresser (n) /'heədresə/	thợ làm tóc
half (n)(det.), pro (n) (adv) /hɑ:f/	một nửa, phần chia đôi, nửa giờ; nửa
hall (n) /hɔ:l/	đại sảnh, tòa (thị chính), hội trường
hammer (n) /'hæmə/	búa
hand (n) (v) /hænd/	tay, bàn tay; trao tay, truyền cho
handle (v) (n) /'hændl/	cầm, sờ mó; tay cầm, móc quai
hang (v) /hæŋ/	treo, mắc
happen (v) /'hæpən/	xảy ra, xảy đến
happily (adv) /'hæpili/	sung sướng, hạnh phúc
happiness (n) /'hæpinis/	sự sung sướng, hạnh phúc
happy (adj) /ˈhæpi/	vui sướng, hạnh phúc
hard (adj) (adv) /ha:d/	cứng, rắn, hà khắc; hết sức cố gắng, tích cực
hardly (adv) /´ha:dli/	khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn
harm (n) (v) /hɑ:m/	thiệt hại, tổn hao; làm hại, gây thiệt hại
harmful (adj) /´ha:mful/	gây tai hại, có hại
harmless (adj) /´ha:mlis/	không có hại
hat (n) /hæt/	cái mũ
hate (v) (n) /heit/	ghét; lòng căm ghét, thù hận
hatred (n) /'heitrid/	lòng căm thì, sự căm ghét
have (v) auxiliary (v) /hæv, həv/	có
have to (modal) (v)	phải (bắt buộc, có bổn phận phải)
he (pronoun) /hi:/	nó, anh ấy, ông ấy
head (n) (v) /hed/	cái đầu (người, thú); chỉ huy, lãnh đại, dẫn đầu
headache (n) /'hedeik/	chứng nhức đầu
heal (v) /hi:l/	chữa khỏi, làm lành
health (n) /hɛlθ/	sức khỏe, thể chất, sự lành mạnh
healthy (adj) /'helθi/	khỏe mạnh, lành mạnh
hear (v) /hiə/	nghe
hearing (n) /ˈhɪərɪŋ/	sự nghe, thính giác
heart (n) /hɑ:t/	tim, trái tim
heat (n) (v) /hi:t/	hơi nóng, sức nóng
heating (n) /'hi:tiη/	sự đốt nóng, sự làm nóng
heaven (n) /ˈhɛvən/	thiên đường
heavily (adv) /´hevili/	nặng, nặng nề
heavy (adj) /'hevi/	nặng, nặng nề
heel (n) /hi:l/	gót chân
height (n) /hait/	chiều cao, độ cao; đỉnh, điểm cao
hell (n) /hel/	địa ngục
hello exclamation, (n) /hз'lou/	chào, xin chào; lời chào
help (v) (n) /'help/	giúp đỡ; sự giúp đỡ
helpful (adj) /´helpful/	có ích; giúp đỡ
hence (adv) /hens/	sau đây, kể từ đây; do đó, vì thế
her (pronoun)(det.) /hз:/	nó, chị ấy, cô ấy, bà ấy
here (adv) /hiə/	đây, ở đây
hero (n) /'hiərou/	người anh hùng
hers (pronoun) /hə:z/	cái của nó, cái của cô ấy, cái của chị ấy, cái của bà ấy
herself (pronoun) /hə:´self/	chính nó, chính cô ta, chính chị ta, chính bà ta
hesitate (v) /'heziteit/	ngập ngừng, do dự
hi exclamation /hai/	xin chào
hide (v) /haid/	trốn, ẩn nấp; che giấu
high (adj) (adv) /hai/	cao, ở mức độ cao
highlight (v) (n) /ˈhaɪˌlaɪt/	làm nổi bật, nêu bật; chỗ nổi bật nhất, đẹp, sáng nhất
highly (adv) /´haili/	tốt, cao; hết sức, ở mức độ cao
highway (n) (especially NAmE) /´haiwei/	đường quốc lộ
hill (n) /hil/	đồi
him (pronoun) /him/	nó, hắn, ông ấy, anh ấy
himself (pronoun) /him´self/	chính nó, chính hắn, chính ông ta, chính anh ta
hip (n) /hip/	hông
hire (v) (n) /haiə/	thuê, cho thuê (nhà...); sự thuê, sự cho thuê
his (det.), (pronoun) /hiz/	của anh ấy
historical (adj) /his'tɔrikəl/	lịch sử, thuộc lịch sử
history (n) /´histəri/	lịch sử, sử học
hit (v) (n) /hit/	đánh, đấm, ném trúng; đòn, cú đấm
hobby (n) /'hɒbi/	sở thích riêng
hold (v) (n) /hould/	cầm, nắm, giữ; sự cầm, sự nắm giữ
hole (n) /'houl/	lỗ, lỗ trống; hang
holiday (n) /'hɔlədi/	ngày lễ, ngày nghỉ
hollow (adj) /'hɔlou/	rỗng, trống rỗng
holy (adj) /ˈhoʊli/	linh thiêng; sùng đạo
home (n) (adv).. /hoʊm/	nhà; ở tại nhà, nước mình
homework (n) /´houm¸wə:k/	bài tập về nhà (học sinh), công việc làm ở nhà
honest (adj) /'ɔnist/	lương thiện, trung thực, chân thật
honestly (adv) /'ɔnistli/	lương thiện, trung thực, chân thật
honour (BrE) (NAmE honor) (n) /'onз/	danh dự, thanh danh, lòng kính trọng
hook (n) /huk/	cái móc; bản lề; lưỡi câu
hope (v) (n) /houp/	hy vọng; nguồn hy vọng
horizontal (adj) /,hɔri'zɔntl/	(thuộc) chân trời, ở chân trời; ngang, nằm ngang (trục hoành)
horn (n) /hɔ:n/	sừng (trâu, bò...)
horror (n) /´hɔrə/	điều kinh khủng, sự ghê rợn
horse (n) /hɔrs/	ngựa
hospital (n) /'hɔspitl/	bệnh viện, nhà thương
host (n) (v) /houst/	chủ nhà, chủ tiệc; dẫn (c.trình), đăng cai tổ chức (hội nghị....)
hot (adj) /hɒt/	nóng, nóng bức
hotel (n) /hou´tel/	khách sạn
hour (n) /'auз/	giờ
house (n) /haus/	nhà, căn nhà, toàn nhà
household (n) (adj) /´haushould/	hộ, gia đình; (thuộc) gia đình
housing (n) /´hauziη/	nơi ăn chốn ở
how (adv) /hau/	thế nào, như thế nào, làm sao, ra sao
however (adv) /hau´evə/	tuy nhiên, tuy vậy, dù thế nào
huge (adj) /hjuːdʒ/	to lớn, khổng lồ
human (adj) (n) /'hju:mən/	(thuộc) con người, loài người
humorous (adj) /´hju:mərəs/	hài hước, hóm hỉnh
humour (BrE) (NAmE humor) (n) /´hju:mə/	sự hài hước, sự hóm hỉnh
hungry (adj) /'hΔŋgri/	đó
hunt (v) /hʌnt/	săn, đi săn
hunting (n) /'hʌntiɳ/	sự đi săn
hurry (v) (n) /ˈhɜri , ˈhʌri/	sự vội vàng, sự gấp rút
hurt (v) /hɜrt/	làm bị thương, gây thiệt hại
husband (n) /´hʌzbənd/	người chồng
i.e. (abbr.)	nghĩa là, tức là ( Id est)
ice (n) /ais/	băng, nước đá
ice cream (n)	kem
idea (n) /ai'diз/	ý tưởng, quan niệm
ideal (adj) (n) /aɪˈdiəl, aɪˈdil/	(thuộc) quan niệm, tư tưởng; lý tưởng
ideally (adv) /aɪˈdiəli/	lý tưởng, đúng như lý tưởng
identify (v) /ai'dentifai/	nhận biết, nhận ra, nhận dạng
identity (n) /aɪˈdɛntɪti/	cá tính, nét nhận dạng; tính đồng nhất, giống hệt
if (conj.) /if/	nếu, nếu như
ignore (v) /ig'no:(r)/	phớt lờ, tỏ ra không biết đến
ill (adj) (especially BrE) /il/	ốm
illegal (adj) /i´li:gl/	trái luật, bất hợp pháp
illegally (adv) /i´li:gəli/	trái luật, bất hợp pháp
illness (n) /´ilnis/	sự đau yếu, ốm, bệnh tật
illustrate (v) /´ilə¸streit/	minh họa, làm rõ ý
image (n) /´imidʒ/	ảnh, hình ảnh
imaginary (adj) /i´mædʒinəri/	tưởng tượng, ảo
imagination (n) /i,mædʤi'neiʃn/	trí tưởng tượng, sự tưởng tượng
imagine (v) /i'mæʤin/	tưởng tượng, hình dung; tưởng rằng, cho rằng
immediate (adj) /i'mi:djət/	lập tức, tức thì
immediately (adv) /i'mi:djətli/	ngay lập tức
immoral (adj) /i´mɔrəl/	trái đạo đức, luân lý; xấu xa
impact (n) /ˈɪmpækt/	sự và chạm, sự tác động, ảnh hưởng
impatient (adj) /im'peiʃən/	thiếu kiên nhẫn, nóng vội
impatiently (adv) /im'pei∫зns/	nóng lòng, sốt ruột
implication (n) /¸impli´keiʃən/	sự lôi kéo, sự liên can, điều gợi ý
imply (v) /im'plai/	ngụ ý, bao hàm
import (n) (v) import	sự nhập, sự nhập khẩu; nhập, nhập khẩu
importance (n) /im'pɔ:təns/	sự quan trọng, tầm quan trọng
important (adj) /im'pɔ:tənt/	quan trọng, hệ trọng
importantly (adv) /im'pɔ:təntli/	quan trọng, trọng yếu
impose (v) /im'pouz/	đánh (thuế...), bắt gánh vác; đánh tráo, lợi dụng
impossible (adj) /im'pɔsəbl/	không thể làm được, không thể xảy ra
impress (v) /im'pres/	ghi, khắc, in sâu vào; gây ấn tượng, làm cảm động
impressed (adj)	được ghi, khắc, in sâu vào
impression (n) /ɪmˈprɛʃən/	ấn tượng, cảm giác; sự in, đóng dấu
impressive (adj) /im'presiv/	gấy ấn tượng mạnh; hùng vĩ, oai vệ
improve (v) /im'pru:v/	cải thiện, cái tiến, mở mang
improvement (n) /im'pru:vmənt/	sự cái thiện, sự cải tiến, sự mở mang
in (prep.), (adv) /in/	ở, tại, trong; vào
in a hurry	vội vàng, hối hả, gấp rút
in addition (to)	thêm vào
in advance	trước, sớm
in case (of)	nếu, trong trường hợp
in charge of /	phụ trách
in common /	sự chung, của chung
in control (of)	trong sự điều khiển của
in detail	tường tận, tỉ mỉ
in exchange (for)	trong việc trao đổi về
in favour/favor (of)	ủng hộ cái gì (to be in favour of something )
in front (of)	ở phía trước
in general	nói chung, đại khái
in honour/honor of	để tỏ lòng tôn kính, trân trọng đối với
in memory of	sự tưởng nhớ
in order to	hợp lệ
in public	giữa công chúng, công khai
in the end	cuối cùng, về sau
inability (n) /¸inə´biliti/	sự bất lực, bất tài
inch (n) /intʃ/	insơ (đơn vị đo chiều dài Anh bằng 2, 54 cm)
incident (n) /´insidənt/	việc xảy ra, việc có liên quan
include (v) /in'klu:d/	bao gồm, tính cả
including (prep.) /in´klu:diη/	bao gồm, kể cả
income (n) /'inkəm/	lợi tức, thu nhập
increase (v) (n) /in'kri:s/or/'inkri:s/	tăng, tăng thêm; sự tăng, sự tăng thêm
increasingly (adv) /in´kri:siηli/	tăng thêm
indeed (adv) /ɪnˈdid/	thật vậy, quả thật
independence (n) /,indi'pendəns/	sự độc lập, nền độc lập
independent (adj) /,indi'pendənt/	độc lập
independently (adv) /,indi'pendзntli/	độc lập
index (n) /'indeks/	chỉ số, sự biểu thị
indicate (v) /´indikeit/	chỉ, cho biết; biểu thị, trình bày ngắn gọn
indication (n) /,indi'kei∫n/	sự chỉ, sự biểu thị, sự biểu lộ
indirect (adj) /¸indi´rekt/	gián tiếp
indirectly (adv) /,indi'rektli/	gián tiếp
individual (adj) (n) /indivídʤuəl/	riêng, riêng biệt; cá nhân
indoor (adj) /´in¸dɔ:/	trong nhà
indoors (adv) /¸in´dɔ:z/	ở trong nhà
industrial (adj) /in´dʌstriəl/	(thuộc) công nghiệp, kỹ nghệ
industry (n) /'indəstri/	công nghiệp, kỹ nghệ
inevitable (adj) /in´evitəbl/	không thể tránh được, chắc chắn xảy ra; vẫn thường thấy, nghe
inevitably (adv) /in’evitəbli/	chắc chắn
infect (v) /in'fekt/	nhiễm, tiêm nhiễm, đầu độc, lan truyền
infected (adj)	bị nhiễm, bị đầu độc
infection (n) /in'fekʃn/	sự nhiễm, sự đầu độc
infectious (adj) /in´fekʃəs/	lây, nhiễm
influence (n) (v) /ˈɪnfluəns/	sự ảnh hưởng, sự tác dụng; ảnh hưởng, tác động
inform (v) /in'fo:m/	báo cho biết, cung cấp tin tức
informal (adj) /in´fɔ:məl/	không chính thức, không nghi thức
information (n) /,infə'meinʃn/	tin tức, tài liệu, kiến thức
ingredient (n) /in'gri:diәnt/	phần hợp thành, thành phần
initial (adj) (n) /i'ni∫зl/	ban đầu, lúc đầu; chữ đầu (của 1 tên gọi)
initially (adv) /i´niʃəli/	vào lúc ban đầu, ban đầu
initiative (n) /ɪˈnɪʃiətɪv , ɪˈnɪʃətɪv/	bước đầu, sự khởi đầu
injure (v) /in'dӡә(r)/	làm tổn thương, làm hại, xúc phạm
injured (adj) /´indʒə:d/	bị tổn thương, bị xúc phạm
injury (n) /'indʤəri/	sự làm tổn thương, làm hại; điều hại, điều tổn hại
ink (n) /iηk/	mực
inner (adj) /'inə/	ở trong, nội bộ; thân cận
innocent (adj) /'inəsnt/	vô tội, trong trắng, ngây thơ
insect (n) /'insekt/	sâu bọ, côn trùng
insert (v) /'insə:t/	chèn vào, lồng vào
inside (prep.), (adv)., (n) (adj) /'in'said/	mặt trong, phía, phần trong; ở trong, nội bộ
insist (on) (v) /in'sist/	cứ nhất định, cứ khăng khăng
install (v) /in'stɔ:l/	đặt (hệ thống máy móc, thiết bị...)
instance (n) /'instəns/	thí dị, ví dụ; trường hợp cá biệt
instead (adv) /in'sted/	để thay thế
instead of	thay cho
institute (n) /ˈ´institju:t/	viện, học viện
institution (n) /UK ,insti'tju:ʃn	US ,insti'tu:ʃn/; sự thành lập, lập; cơ quan, trụ sở
instruction (n) /ɪn'strʌkʃn/	sự dạy, tài liệu cung cấp
instrument (n) /'instrumənt/	dụng cụ âm nhạc khí
insult (v) (n) /'insʌlt/	lăng mạ, xỉ nhục; lời lăng mạ, sự xỉ nhục
insulting (adj) /in´sʌltiη/	lăng mạ, xỉ nhục
insurance (n) /in'ʃuərəns/	sự bảo hiểm
intelligence (n) /in'telidʒəns/	sự hiểu biết, trí thông minh
intelligent (adj) /in,teli'dЗen∫зl/	thông minh, sáng trí
intend (v) /in'tend/	ý định, có ý định
intended (adj) /in´tendid/	có ý định, có dụng ý
intention (n) /in'tenʃn/	ý định, mục đích
interest (n) (v) /ˈɪntərest/	or /ˈɪntrest/; sự thích thú, sự quan tâm, chú ý; làm quan tâm, làm chú ý
interested (adj)	có thích thú, có quan tâm, có chú ý
interesting (adj) /'intristiŋ/	làm thích thú, làm quan tâm, làm chú ý
interior (n) (adj) /in'teriə/	phần trong, phía trong; ở trong, ở phía trong
internal (adj) /in'tə:nl/	ở trong, bên trong, nội địa
international (adj) /intə'næʃən(ə)l/	quốc tế
internet (n) /'intə,net/	liên mạng
interpret (v) /in'tз:prit/	giải thích
interpretation (n) /in,tə:pri'teiʃn/	sự giải thích
interrupt (v) /ɪntǝ'rʌpt/	làm gián đoạn, ngắt lời
interruption (n) /,intə'rʌp∫n/	sự gián đoạn, sự ngắt lời
interval (n) /ˈɪntərvəl/	khoảng (k–t.gian), khoảng cách
interview (n) (v) /'intəvju:/	cuộc phỏng vấn, sự gặp mặt; phỏng vấn, nói chuyện riêng
into (prep.) /'intu/	or /'intə/; vào, vào trong
introduce (v) /'intrədju:s/	giới thiệu
introduction (n) /¸intrə´dʌkʃən/	sự giới thiệu, lời giới thiệu
invent (v) /in'vent/	phát minh, sáng chế
invention (n) /ɪnˈvɛnʃən/	sự phát minh, sự sáng chế
invest (v) /in'vest/	đầu tư
investigate (v) /in'vestigeit/	điều tra, nghiên cứu
investigation (n) /in¸vesti´geiʃən/	sự điều tra, nghiên cứu
investment (n) /in'vestmənt/	sự đầu tư, vốn đầu tư
invitation (n) /,invi'teiʃn/	lời mời, sự mời
invite (v) /in'vait /	mời
involve (v) /ɪnˈvɒlv/	bao gồm, bao hàm; thu hút, dồn tâm trí
involved in	để hết tâm trí vào
involvement (n) /in'vɔlvmənt/	sự gồm, sự bao hàm; sự để, dồn hết tâm trí vào
iron (n) (v) /aɪən /	sắt; bọc sắt
irritate (v) /´iri¸teit/	làm phát cáu, chọc tức
irritated (adj) /'iriteitid/	tức giận, cáu tiết
irritating (adj) /´iriteitiη/	làm phát cáu, chọc tức
island (n) /´ailənd/	hòn đảo
issue (n) (v) /ɪʃuː	BrE also ɪsjuː/; sự phát ra, sự phát sinh; phát hành, đưa ra
it (pronoun)(det.) /it/	cái đó, điều đó, con vật đó
item (n) /'aitəm/	tin tức; khoả(n)., mó(n).., tiết mục
its (det.) /its/	của cái đó, của điều đó, của con vật đó; cái của điều đó, cái của con vật đó
itself (pronoun) /it´self/	chính cái đó, chính điều đó, chính con vật đó
jacket (n) /'dʤækit/	áo vét
jam (n) /dʒæm/	mứt
January (n) (abbr. Ja(n)) /'ʤænjuəri/	tháng giêng
jealous (adj) /'ʤeləs/	ghen,"", ghen tị
jeans (n) /dЗeins/	quần bò, quần zin
jelly (n) /´dʒeli/	thạch
jewellery (BrE) (NAmE jewelry) (n) /'dʤu:əlri/	nữ trang, kim hoàn
job (n) /dʒɔb/	việc, việc làm
join (v) /ʤɔin/	gia nhập, tham gia; nối, chắp, ghép
joint (adj) (n) /dʒɔɪnt/	chung (giữa 2 người hoặc hơn); chỗ nối, đầu nối
jointly (adv) /ˈdʒɔɪntli/	cùng nhau, cùng chung
joke (n) (v) /dʒouk/	trò cười, lời nói đùa; nói đùa, giễu cợt
journalist (n) /´dʒə:nəlist/	nhà báo
journey (n) /'dʤə:ni/	cuộc hành trình (đường bộ); quãng đường, chặng đường đi
joy (n) /dʒɔɪ/	niềm vui, sự vui mừng
judge (n) (v) /dʒʌdʒ/	xét xử, phân xử; quan tòa, thẩm phán
judgement (also judgment especially in NAmE) (n) /'dʤʌdʤmənt/	sự xét xử
juice (n) /ʤu:s/	nước ép (rau, củ, quả)
July (n) (abbr. Jul.) /dʒu´lai/	tháng 7
jump (v) (n) /dʒʌmp/	nhảy; sự nhảy, bước nhảy
June (n) (abbr. Ju(n)) /dЗu:n/	tháng 6
junior (adj) (n) /´dʒu:niə/	trẻ hơn, ít tuổi hơn; người ít tuổi hơn
just (adv) /dʤʌst/	đúng, vừa đủ; vừa mới, chỉ
justice (n) /'dʤʌstis/	sự công bằng
justified (adj) /'dʒʌstɪfaɪd/	hợp lý, được chứng minh là đúng
justify (v) /´dʒʌsti¸fai/	bào chữa, biện hộ
keen (adj) /ki:n/	sắc, bén
keen on	say mê, ưa thích
keep (v) /ki:p/	giữ, giữ lại
key (n) (adj) /ki:/	chìa khóa, khóa, thuộc (khóa)
keyboard (n) /'ki:bɔ:d/	bàn phím
kick (v) (n) /kick/	đá; cú đá
kid (n) /kid/	con dê non
kill (v) /kil/	giết, tiêu diệt
killing (n) /´kiliη/	sự giết chóc, sự tàn sát
kilogram (BrE also kilogramme) (also kilo) (n) (abbr. kg) /´kilou¸græm/	Kilôgam
kilometre (BrE) (NAmE kilometer) (n) (abbr. k, km) /´kilə¸mi:tə/	Kilômet
kilometre (n) /´kilə¸mi:tə/	Kilômet
kind (n) (adj) /kaind/	loại, giống; tử tế, có lòng tốt
kindly (adv) /´kaindli/	tử tế, tốt bụng
kindness (n) /'kaindnis/	sự tử tế, lòng tốt
king (n) /kiɳ/	vua, quốc vương
kiss (v) (n) /kis/	hôn, cái hôn
kitchen (n) /´kitʃin/	bếp
knee (n) /ni:/	đầu gối
knife (n) /naif/	con dao
knit (v) /nit/	đan, thêu
knitted (adj) /nitid/	được đan, được thêu
knitting (n) /´nitiη/	việc đan; hàng dệt kim
knock (v) (n) /nɔk/	đánh, đập; cú đánh
knot (n) /nɔt/	cái nơ; điểm nút, điểm trung tâm
know (v) /nou/	biết
knowledge (n) /'nɒliʤ/	sự hiểu biết, tri thức
label (n) (v) /leibl/	nhãn, mác; dán nhãn, ghi mác
laboratory, lab (n) /ˈlæbrəˌtɔri/	phòng thí nghiệm
labour (BrE) (NAmE labor) (n) /'leibз/	lao động; công việc
lack (of) (n) (v) /læk/	sự thiếu; thiếu
lacking (adj) /'lækiη/	ngu đần, ngây ngô
lady (n) /ˈleɪdi/	người yêu, vợ, quý bà, tiểu thư
lake (n) /leik/	hồ
lamp (n) /læmp/	đèn
land (n) (v) /lænd/	đất, đất canh tác, đất đai
landscape (n) /'lændskeip/	phong cảnh
lane (n) /lein/	đường nhỏ (làng, hẻm phố)
language (n) /ˈlæŋgwɪdʒ/	ngôn ngữ
large (adj) /la:dʒ/	rộng, lớn, to
largely (adv) /´la:dʒli/	phong phú, ở mức độ lớn
last (det.), (adv)., (n) (v) /lɑ:st/	lầm cuối, sau cùng; người cuối cùng; cuối cùng, rốt hết; kéo dài
late (adj) (adv) /leit/	trễ, muộn
later (adv)., (adj) /leɪtə(r)/	chậm hơn
latest (adj) (n) /leitist/	muộn nhất, chậm nhất, gần đây nhất
latter (adj) (n) /´lætə/	sau cùng, gần đây, mới đây
laugh (v) (n) /lɑ:f/	cười; tiếng cười
launch (v) (n) /lɔ:ntʃ/	hạ thủy (tàu); khai trương; sự hạ thủy, buổi giới thiệu sản phầm
law (n) /lo:/	luật
lawyer (n) /ˈlɔyər , ˈlɔɪər/	luật sư
lay (v) /lei/	xếp, đặt, bố trí
layer (n) /'leiə/	lớp
lazy (adj) /'leizi/	lười biếng
lead /li:d/	(v) (n) lãnh đạo, dẫn dắt; sự lãnh đạo, sự hướng dẫn
leader (n) /´li:də/	người lãnh đạo, lãnh tụ
leading (adj) /´li:diη/	lãnh đạo, dẫn đầu
leaf (n) /li:f/	lá cây, lá (vàng...)
league (n) /li:g/	liên minh, liên hoàn
lean (v) /li:n/	nghiêng, dựa, ỷ vào
learn (v) /	lə:n/; học, nghiên cứu
least (det.), (pronoun) (adv) /li:st/	tối thiểu; ít nhất
leather (n) /'leðə/	da thuộc
leave (v) /li:v/	bỏ đi, rời đi, để lại
leave out	bỏ quên, bỏ sót
lecture (n) /'lekt∫ә(r)/	bài diễn thuyết, bài thuyết trình, bài nói chuyện
left (adj) (adv) (n) /left/	bên trái; về phía trái
leg (n) /´leg/	chân (người, thú, bà(n)..)
legal (adj) /ˈligəl/	hợp pháp
legally (adv) /'li:gзlizm/	hợp pháp
lemon (n) /´lemən/	quả chanh
lend (v) /lend/	cho vay, cho mượn
length (n) /leɳθ/	chiều dài, độ dài
less (det.), pro (n) (adv) /les/	nhỏ bé, ít hơn; số lượng ít hơn
lesson (n) /'lesn/	bài học
let (v) /lεt/	cho phép, để cho
letter (n) /'letə/	thư; chữ cái, mẫu tự
level (n) (adj) /'levl/	trình độ, cấp, vị trí; bằng, ngang bằng
library (n) /'laibrəri/	thư viện
licence (BrE) (NAmE license) (n) /ˈlaɪsəns/	bằng, chứng chỉ, bằng cử nhân; sự cho phép
license (v) /'laisзns/	cấp chứng chỉ, cấp bằng, cho phép
lid (n) /lid/	nắp, vung (xoong, nồi..); mi mắt (eyelid)
